benchmark,cwe,marker,static_time,symb_time,total_time,exploit,
/bench/results/res-20240929T012449/CWE-22/1077_GHSA-2mp5-m968-gwr2/v0.2.6.tar/http-file-server.js,CWE-22,Exited 2,0.,0.,0.0317042,false,
/bench/results/res-20240929T012449/CWE-22/473_GHSA-pwqj-h62h-q35c/goserv-1.0.0/lib/goserv.js,CWE-22,Exited 0,35.612317,0.000128,35.648,false,
/bench/results/res-20240929T012449/CWE-22/377_GHSA-qhf6-vqq9-q2p7/gaoxiaotingtingting-1.1.0/index.js,CWE-22,Exited 0,32.189812,9.9e-05,32.2241,false,
/bench/results/res-20240929T012449/CWE-22/381_GHSA-w3cg-6577-wx9f/cuciuci-1.1.0/index.js,CWE-22,Exited 0,32.546292,8.2e-05,32.5815,false,
/bench/results/res-20240929T012449/CWE-22/375_GHSA-j6w4-pg6p-5mrv/tmock-0.0.7/app.js,CWE-22,Exited 0,36.563498,8.6e-05,36.5984,false,
/bench/results/res-20240929T012449/CWE-22/439_GHSA-8vmc-g99q-xj94/dcdcdcdcdc-1.0.0/node.js,CWE-22,Exited 0,33.160096,0.000106,33.1946,false,
/bench/results/res-20240929T012449/CWE-22/450_GHSA-pm44-7gw9-6g8p/uekw1511server-1.0.1/index.js,CWE-22,Exited 0,34.334611,0.000125,34.3692,false,
/bench/results/res-20240929T012449/CWE-22/374_GHSA-xpqw-fqpw-35fc/wangguojing123-1.3.0/index.js,CWE-22,Exited 0,33.358254,0.000143,33.3946,false,
/bench/results/res-20240929T012449/CWE-22/461_GHSA-23wc-v4mf-x7v4/intsol-package-1.0.0/index.js,CWE-22,Exited 0,34.201511,9.5e-05,34.2369,false,
/bench/results/res-20240929T012449/CWE-22/802_GHSA-rv49-54qp-fw42/servey-2.2.0/lib/server/index.js,CWE-22,Exited 0,1.936836,0.,1.96546,false,
/bench/results/res-20240929T012449/CWE-22/347_GHSA-6w83-22gj-5pv9/cyber-js-1.0.7/app.js,CWE-22,Exited 0,33.918123,0.000109,33.9542,false,
/bench/results/res-20240929T012449/CWE-22/14_GHSA-g4xp-36c3-f7mr/inert-1.1.0/lib/directory.js,CWE-22,Exited 0,31.707557,9.8e-05,31.7389,false,
/bench/results/res-20240929T012449/CWE-22/32_GHSA-xwg4-93c6-3h42/send-0.8.3/lib/send.js,CWE-22,Exited 0,37.24654,9.8e-05,37.2822,false,
