benchmark,cwe,marker,fuzz_time,expl_time,total_time,taintpath,exploit,
results/nodemedic/20240906-secbench/web-node-server/web-node-server-0.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.991656569,false,false,
results/nodemedic/20240906-secbench/linux-cmdline/linux-cmdline-1.0.0_NodeMedic,CWE-471,Exited 0,0.,0.,9.326552118,false,false,
results/nodemedic/20240906-secbench/serverzyy/serverzyy-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.956511905,false,false,
results/nodemedic/20240906-secbench/node-extend/node-extend-1.0.0_NodeMedic,CWE-94,Exited 0,0.,0.,7.682099094,false,false,
results/nodemedic/20240906-secbench/caolilinode1/caolilinode1-1.0.0_NodeMedic,CWE-22,Exited 0,0.,0.,9.361786607,false,false,
results/nodemedic/20240906-secbench/expand-hash/expand-hash-1.0.1_NodeMedic,CWE-471,Exited 0,0.,0.,9.225856685,false,false,
results/nodemedic/20240906-secbench/port-killer/port-killer-1.0.1_NodeMedic,CWE-78,Exited 0,7.897,5.083,55.658429084,true,false,
results/nodemedic/20240906-secbench/gaoxiaotingtingting/gaoxiaotingtingting-1.1.0_NodeMedic,CWE-22,Exited 0,0.,0.,8.985446568,false,false,
results/nodemedic/20240906-secbench/safer-eval/safer-eval-1.3.1_NodeMedic,CWE-94,Exited 0,0.,0.,8.822619834,false,false,
results/nodemedic/20240906-secbench/npm-git-publish/npm-git-publish-0.2.4-beta_NodeMedic,CWE-78,Exited 0,0.,0.,8.820428859,false,false,
results/nodemedic/20240906-secbench/stattic/stattic-0.2.3_NodeMedic,CWE-22,Exited 0,0.,0.,9.181513281,false,false,
results/nodemedic/20240906-secbench/node-simple-router/node-simple-router-0.10.0_NodeMedic,CWE-22,Exited 0,0.,0.,10.446807068,false,false,
results/nodemedic/20240906-secbench/git-tags-remote/git-tags-remote-1.0.2_NodeMedic,CWE-78,Exited 0,11.97,5.09,68.877936406,true,false,
results/nodemedic/20240906-secbench/paypal-adaptive/paypal-adaptive-0.4.1_NodeMedic,CWE-471,Exited 0,0.,0.,9.189752195,false,false,
